date;Conductivity;Temperature;Pressure;Temperature;Dissolved O₂ concentration;PAR;pH;Unknown;Unknown;Unknown;Sea pressure;Depth;Salinity;Speed of sound;Specific conductivity;Dissolved O₂ saturation;Density anomaly
2024-01-30 08:48:02,500;0,00138728483580053;8,89450073242188;10,2565851211548;9,58049964904785;367,858947753906;57,0074043273926;-7,07958221435547;0,168500006198883;4,95100021362305;1,04339993000031;0,124085426330566;0,123073548078537;0,00476570893079042;1442,83825683594;2,00363230705261;101,621803283691;-0,20460625261353
2024-01-30 08:48:03,000;0,00157475005835295;8,88604736328125;10,2605266571045;9,58049964904785;367,858825683594;48,711971282959;-6,27996921539307;0,221500009298325;4,9500002861023;1,04209995269775;0,128026962280273;0,126982942223549;0,00483783287927508;1442,80395507813;2,27491545677185;101,601181030273;-0,203912694592191
2024-01-30 08:48:03,500;0,00189541722647846;8,88076782226563;10,2591733932495;9,57439994812012;369,193939208984;30,0888786315918;-6,00219821929932;0,184000015258789;4,92600011825562;1,04170000553131;0,126673698425293;0,125640705227852;0,00497329048812389;1442,78259277344;2,73855662345886;101,957077026367;-0,20342666359295
2024-01-30 08:48:04,000;0,0014603273011744;8,87811279296875;10,2547512054443;9,57439994812012;369,1943359375;30,0973377227783;-4,4965500831604;0,198500007390976;4,86550045013428;1,02909994125366;0,122251510620117;0,121254585683346;0,00478609744459391;1442,77136230469;2,1100800037384;101,950546264648;-0,203402875737879
2024-01-30 08:48:04,500;0,00158258411101997;8,876708984375;10,2606678009033;9,57409954071045;367,829406738281;25,172004699707;-4,63235282897949;0,233500003814697;4,14849996566772;0,933949947357178;0,128168106079102;0,127122938632965;0,00483594369143248;1442,76586914063;2,28682208061218;101,57022857666;-0,203232615463207
2024-01-30 08:50:50,500;0,00137386179994792;8,82867431640625;10,2563161849976;9,31190013885498;369,860992431641;32,3932991027832;1,3463054895401;0,19200000166893;4,72600030899048;1,0069500207901;0,12381649017334;0,122806802392006;0,00472346134483814;1442,56945800781;1,98785531520844;102,013145446777;-0,199859433049369
2024-01-30 08:50:51,000;0,00135906040668488;8,829345703125;10,25439453125;9,31190013885498;369,860992431641;35,6124038696289;2,04131174087524;0,200000002980232;4,64500045776367;1,00709998607636;0,121894836425781;0,120900817215443;0,00471791531890631;1442,57214355469;1,96640241146088;102,014770507813;-0,199921540347873
2024-01-30 08:50:51,500;0,00109266501385719;8,82794189453125;10,2525072097778;9,31569957733154;370,756744384766;36,0922355651855;2,39410209655762;0,189500004053116;4,83350038528442;1,01339995861053;0,120007514953613;0,119028888642788;0,00461501907557249;1442,56628417969;1,5810204744339;102,258331298828;-0,199910911538382
2024-01-30 08:50:52,000;0,000885478395503014;8,82901000976563;10,2525005340576;9,31569957733154;370,756927490234;47,5658302307129;-20,0735740661621;0,203000009059906;4,81700038909912;1,01219999790192;0,120000839233398;0,119022265076637;0,00454350607469678;1442,57055664063;1,28119623661041;102,260948181152;-0,200044772847036
2024-01-30 08:50:52,500;0,00121697317808867;8,83383178710938;10,2505874633789;9,32079982757568;371,039916992187;55,2699508666992;-18,3956260681152;0,225500017404556;4,74200010299683;1,01450002193451;0,118087768554688;0,117124795913696;0,00466487091034651;1442,59020996094;1,76060032844543;102,35099029541;-0,200305932456786
